0,teamName,teamId
1,AC Milan,8564
2,AFC Bournemouth,8678
3,Albania,10024
4,Almeria,9865
5,Angers,8121
6,Argentina,6706
7,Arsenal,9825
8,AS Monaco,9829
9,AS Roma,8686
10,Aston Villa,10252
11,Atalanta,8524
12,Athletic Club,8315
13,Athletico Paranaense,10273
14,Atletico GO,165545
15,Atlético Madrid,9906
16,Atletico MG,10272
17,Augsburg,8406
18,Austria,8255
19,Auxerre,8583
20,Bahia,7877
21,Barcelona,8634
22,Bayer Leverkusen,8178
23,Bayern Munich,9823
24,Belgium,8263
25,Benfica,9772
26,Bochum,9911
27,Bologna,9857
28,Borussia Dortmund,9789
29,Borussia Monchengladbach,9788
30,Botafogo RJ,8517
31,Brazil,8256
32,Brentford,9937
33,Brighton & Hove Albion,10204
34,Burnley,8191
35,Cadiz,8385
36,Cagliari,8529
37,Celta Vigo,9910
38,Celtic,9925
39,Chelsea,8455
40,Club Brugge,8342
41,Colombia,8258
42,Como,10171
43,Corinthians,9808
44,Costa Rica,6705
45,Criciuma,7729
46,Croatia,10155
47,Cruzeiro,9781
48,Crystal Palace,9826
49,Cuiaba,197815
50,Czechia,8496
51,Darmstadt,8262
52,Denmark,8238
53,Deportivo Alavés,9866
54,Dinamo Zagreb,10156
55,Eintracht Frankfurt,9810
56,Empoli,8534
57,England,8491
58,Espanyol,8558
59,Everton,8668
60,FC Heidenheim,94937
61,FC Koln,8722
62,Feyenoord,10235
63,Fiorentina,8535
64,FK Crvena Zvezda,8687
65,Flamengo,9770
66,Fluminense,9863
67,Fortaleza,8287
68,France,6723
69,Freiburg,8358
70,FSV Mainz 05,9905
71,Fulham,9879
72,Genoa,10233
73,Georgia,8268
74,Germany,8570
75,Getafe,8305
76,Girona,7732
77,Granada,7878
78,Greece,6383
79,Gremio,9769
80,Hellas Verona,9876
81,Hoffenheim,8226
82,Hungary,8565
83,Inter Milan,8636
84,Internacional,8702
85,Ipswich Town,9902
86,Italy,8204
87,Juventude,10274
88,Juventus,9885
89,Las Palmas,8306
90,Lazio,8543
91,Le Havre,9746
92,Lecce,9888
93,Leganes,7854
94,Leicester City,8197
95,Lens,8588
96,Lille,8639
97,Liverpool,8650
98,Luton Town,8346
99,Lyon,9748
100,Mallorca,8661
101,Manchester City,8456
102,Manchester United,10260
103,Marseille,8592
104,Montpellier,10249
105,Monza,6504
106,Nantes,9830
107,Napoli,9875
108,Netherlands,6708
109,Newcastle United,10261
110,Nottingham Forest,10203
111,OGC Nice,9831
112,Osasuna,8371
113,Palmeiras,10283
114,Panama,5922
115,Paraguay,6724
116,Paris Saint-Germain,9847
117,Parma Calcio 1913,10167
118,Poland,8568
119,Portugal,8361
120,PSV Eindhoven,8640
121,Rayo Vallecano,8370
122,RB Leipzig,178475
123,Real Betis,8603
124,Real Madrid,8633
125,Real Sociedad,8560
126,Real Valladolid,10281
127,Red Bull Bragantino,109705
128,Rennes,9851
129,Romania,9730
130,Saint-Etienne,9853
131,Salzburg,10013
132,Sao Paulo,10277
133,Scotland,8498
134,Serbia,8205
135,Sevilla,8302
136,Shakhtar,9728
137,Sheffield United,8657
138,Slovakia,8497
139,Slovan Bratislava,6019
140,Slovenia,5787
141,Southampton,8466
142,Spain,6720
143,Sparta Prague,10247
144,Sporting CP,9768
145,St. Pauli,8152
146,Stade Brestois,8521
147,Stade de Reims,9837
148,Strasbourg,9848
149,Sturm Graz,10014
150,Switzerland,6717
151,Torino,9804
152,Tottenham Hotspur,8586
153,Toulouse,9941
154,Turkiye,6595
155,Udinese,8600
156,Ukraine,6718
157,Union Berlin,8149
158,Uruguay,5796
159,Valencia,10267
160,Vasco da Gama,10276
161,Venezia,7881
162,VfB Stuttgart,10269
163,Villarreal,10205
164,Vitoria,7733
165,Werder Bremen,8697
166,West Ham United,8654
167,Wolfsburg,8721
168,Wolverhampton Wanderers,8602
169,Young Boys,10192
170,Holstein Kiel,8150
171,Leeds United,8463
172,Sunderland,8472
173,Real Oviedo,8670
174,Elche,10268
175,Westerlo,10001
176,Inter Miami,960720
177,Lorient,8689
178,Hamburger SV,9790
179,AZ Alkmaar,10229
180,Sassuolo,7943
